,INSTITUICAO_ENSINO_ALUNO,NOME,IDADE_ALUNO,ANOS_PM,FASE_TURMA,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Ano,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,NIVEL_IDEAL,DEFASAGEM,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,INDICADO_BOLSA
623,Escola Pública,ALUNO-1149,10.0,1.0,0E,Não,7.029166999999999,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,10.0,5.625,9.0,2.5,4.833325,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
624,Escola Pública,ALUNO-1150,9.0,2.0,1H,Não,8.673890666666669,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.8,7.5,9.5,7.916666666666668,7.61111,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
625,Escola Pública,ALUNO-1156,13.0,1.0,3B,Não,8.281250333333332,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.0,7.5,8.666666666666666,7.8125,6.916665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
626,UNISA,ALUNO-1158,18.0,1.0,8A,,8.818335000000001,B,Ametista,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,9.58335,10.0,7.5,8.4,0.0,0.0,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
627,Escola Pública,ALUNO-1159,15.0,1.0,3F,Sim,8.552224666666667,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,9.9,6.875,9.333333333333334,8.125,8.944449999999998,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
628,Escola Pública,ALUNO-1161,14.0,2.0,3L,Não,6.2183348333333335,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,7.8,4.375,4.666666666666667,5.625,6.1249975,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
629,Escola Pública,ALUNO-1165,13.0,1.0,2D,Não,8.080002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,9.9,7.5,9.0,7.5,7.5,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
630,Escola Pública,ALUNO-1166,13.0,3.0,2E,Não,5.6905573333333335,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,6.3,5.0,4.0,6.25,5.277776666666666,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
631,Escola Pública,ALUNO-1167,9.0,1.0,1F,Não,7.627502,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,8.7,6.25,4.5,8.125,8.0,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
632,Escola Pública,ALUNO-1168,11.0,0.0,1M,Não,8.043751,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91668,8.5,7.5,10.0,7.1875,7.916665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
633,Escola Pública,ALUNO-1170,9.0,1.0,1G,Não,8.178752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,8.3,7.5,9.0,7.1875,7.25,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
634,Escola Pública,ALUNO-1171,12.0,1.0,3C,Sim,8.925003,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.5,6.25,8.333333333333334,8.749999999999998,9.500006666666668,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
635,Escola Pública,ALUNO-1172,10.0,2.0,1D,Não,6.268752,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,5.0,7.5,4.5,7.1875,7.25,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
636,Escola Pública,ALUNO-1173,15.0,1.0,5B,Não,4.420833666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,2.0,3.75,0.0,6.875,5.833333333333335,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
637,Escola Pública,ALUNO-1174,15.0,1.0,5F,Sim,7.3906255,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08333,7.0,6.875,5.0,8.28125,8.8333375,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
638,Escola Pública,ALUNO-1175,10.0,0.0,1K,Não,5.367224,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,5.1,7.5,0.0,7.916666666666668,7.277776666666666,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
639,Escola Pública,ALUNO-1176,15.0,3.0,5B,Não,8.233335,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,8.0,8.75,6.333333333333333,9.166666666666666,8.500003333333334,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
640,Escola Pública,ALUNO-1178,13.0,1.0,2M,Não,5.692918,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,3.1,6.875,4.25,7.1875,7.58333,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
641,Escola Pública,ALUNO-1181,10.0,1.0,0D,Não,7.745836000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,10.0,5.625,10.0,2.5,7.66667,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
642,Escola Pública,ALUNO-1187,13.0,1.0,2G,Não,7.060279333333334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.1,7.5,4.5,8.125,7.888886666666667,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
643,Escola Pública,ALUNO-1188,17.0,1.0,7A,Não,5.461458666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,1.0,7.5,4.333333333333333,7.03125,5.75,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
644,UNISA,ALUNO-1189,19.0,1.0,8A,,9.218335,A,Topázio,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,9.58335,10.0,7.5,9.4,0.0,0.0,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
