,INSTITUICAO_ENSINO_ALUNO,NOME,IDADE_ALUNO,ANOS_PM,FASE_TURMA,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Ano,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,NIVEL_IDEAL,DEFASAGEM,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,INDICADO_BOLSA
597,Escola Pública,ALUNO-1094,13.0,1.0,2D,Não,8.041252,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,9.3,7.5,8.5,7.8125,7.75,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
598,Escola Pública,ALUNO-1095,7.0,1.0,0B,Não,9.116669,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,10.0,7.5,10.0,7.5,8.083335,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
599,Rede Decisão/União,ALUNO-1097,12.0,3.0,3B,Não,7.818543333333334,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,7.4,7.5,6.666666666666667,7.96875,7.5,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
600,FIAP,ALUNO-1100,15.0,2.0,8A,,8.976668,A,Topázio,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,9.16668,10.0,7.5,8.9,0.0,0.0,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
601,Escola Pública,ALUNO-1103,13.0,4.0,2H,Não,6.394585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91668,8.9,4.375,3.5,4.6875,8.583335,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
602,Escola Pública,ALUNO-1105,11.0,4.0,1D,Não,7.648752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.50002,9.4,7.5,7.5,7.1875,7.75,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
603,Escola Pública,ALUNO-1106,10.0,1.0,0E,Sim,7.734169,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,9.9,4.375,9.5,2.5,8.833335,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
604,Escola Pública,ALUNO-1110,10.0,1.0,1A,Não,7.852501999999999,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,7.7,7.5,8.5,8.125,8.0,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
605,Escola Pública,ALUNO-1112,16.0,2.0,6B,Não,6.8100005,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,5.8,6.25,4.5,7.5,7.9166675,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
606,Escola Pública,ALUNO-1119,8.0,1.0,1A,Não,8.541252,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.8,7.5,9.0,7.8125,7.25,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
